"PRODUCT_ID","PRODUCT_DESCRIPTION","BEER_STYLE","PACK_TYPE","BARLEY_USAGE_PER_UNIT","HOPS_USAGE_PER_UNIT","OTHER_COGS_PER_UNIT","BASE_RETAIL_PRICE"
"BEER-001000","Brooklyn Lager - 24x12oz Case","LAGER","CS",0.85,0.55,14.74,32.75
"BEER-001001","Chicago IPA - 24x16oz Case","IPA","CS",0.95,1.40,14.15,45.93
"BEER-001002","Toronto Stout - 12x22oz Case","STOUT","CS",1.20,0.35,17.20,40.47
"BEER-001003","NY Pilsner - 50L Keg","PILSNER","KEG",0.80,0.50,81.30,146.99
"BEER-001004","Chicago Amber Ale - 50L Keg","ALE","KEG",0.90,0.70,85.58,153.64
"BEER-001005","Demo Beer Product #5","BEER","CS",0.88,0.67,16.61,33.80
"BEER-001006","Demo Beer Product #6","BEER","CS",0.77,0.54,16.17,35.34
"BEER-001007","Demo Beer Product #7","BEER","CS",0.89,0.51,15.91,32.30
"BEER-001008","Demo Beer Product #8","BEER","CS",0.76,0.50,16.64,31.18
"BEER-001009","Demo Beer Product #9","BEER","CS",0.91,0.78,16.81,36.85
"BEER-001010","Demo Beer Product #10","BEER","CS",0.81,0.74,14.27,35.97
"BEER-001011","Demo Beer Product #11","BEER","CS",0.89,0.63,14.25,33.69
"BEER-001012","Demo Beer Product #12","BEER","CS",0.96,0.78,14.38,31.09
"BEER-001013","Demo Beer Product #13","BEER","CS",0.87,0.74,15.10,31.29
"BEER-001014","Demo Beer Product #14","BEER","CS",0.92,0.72,14.87,34.69
"BEER-001015","Demo Beer Product #15","BEER","CS",0.95,0.50,15.81,31.05
"BEER-001016","Demo Beer Product #16","BEER","CS",0.97,0.53,14.17,32.91
"BEER-001017","Demo Beer Product #17","BEER","CS",0.79,0.76,15.21,36.52
"BEER-001018","Demo Beer Product #18","BEER","CS",0.87,0.75,16.10,32.73
"BEER-001019","Demo Beer Product #19","BEER","CS",0.92,0.78,15.91,33.77
"BEER-001020","Demo Beer Product #20","BEER","CS",0.86,0.73,16.66,31.64
"BEER-001021","Demo Beer Product #21","BEER","CS",0.90,0.70,14.19,36.42
"BEER-001022","Demo Beer Product #22","BEER","CS",0.85,0.52,15.59,37.90
"BEER-001023","Demo Beer Product #23","BEER","CS",0.98,0.75,14.09,35.18
"BEER-001024","Demo Beer Product #24","BEER","CS",0.75,0.67,14.74,34.24
"BEER-001025","Demo Beer Product #25","BEER","CS",0.92,0.68,16.82,37.65
"BEER-001026","Demo Beer Product #26","BEER","CS",0.84,0.52,14.37,33.00
"BEER-001027","Demo Beer Product #27","BEER","CS",0.99,0.54,15.55,32.60
"BEER-001028","Demo Beer Product #28","BEER","CS",0.89,0.58,16.97,31.36
"BEER-001029","Demo Beer Product #29","BEER","CS",0.83,0.55,15.83,31.16
"BEER-001030","Demo Beer Product #30","BEER","CS",0.87,0.50,16.10,36.81
"BEER-001031","Demo Beer Product #31","BEER","CS",0.81,0.66,15.57,33.74
"BEER-001032","Demo Beer Product #32","BEER","CS",0.92,0.79,17.07,32.31
"BEER-001033","Demo Beer Product #33","BEER","CS",0.99,0.76,17.32,36.82
"BEER-001034","Demo Beer Product #34","BEER","CS",0.98,0.72,14.12,35.80
"BEER-001035","Demo Beer Product #35","BEER","CS",0.94,0.65,15.41,35.04
"BEER-001036","Demo Beer Product #36","BEER","CS",0.76,0.58,15.95,32.29
"BEER-001037","Demo Beer Product #37","BEER","CS",0.96,0.61,17.48,33.74
"BEER-001038","Demo Beer Product #38","BEER","CS",0.88,0.55,14.35,31.06
"BEER-001039","Demo Beer Product #39","BEER","CS",0.96,0.71,15.34,36.54
"BEER-001040","Demo Beer Product #40","BEER","CS",0.95,0.52,15.25,34.75
"BEER-001041","Demo Beer Product #41","BEER","CS",0.96,0.70,16.69,36.42
"BEER-001042","Demo Beer Product #42","BEER","CS",0.77,0.71,14.33,35.80
"BEER-001043","Demo Beer Product #43","BEER","CS",0.80,0.78,14.43,35.90
"BEER-001044","Demo Beer Product #44","BEER","CS",0.79,0.56,14.54,32.42
"BEER-001045","Demo Beer Product #45","BEER","CS",0.93,0.68,17.12,37.29
"BEER-001046","Demo Beer Product #46","BEER","CS",0.98,0.67,14.44,37.87
"BEER-001047","Demo Beer Product #47","BEER","CS",0.84,0.73,15.71,36.62
"BEER-001048","Demo Beer Product #48","BEER","CS",0.86,0.57,14.23,33.39
"BEER-001049","Demo Beer Product #49","BEER","CS",0.84,0.65,14.99,32.59
"BEER-001050","Demo Beer Product #50","BEER","CS",0.83,0.53,14.86,32.14
"BEER-001051","Demo Beer Product #51","BEER","CS",0.94,0.51,16.45,34.84
"BEER-001052","Demo Beer Product #52","BEER","CS",0.83,0.76,14.74,32.79
"BEER-001053","Demo Beer Product #53","BEER","CS",0.81,0.79,15.70,36.57
"BEER-001054","Demo Beer Product #54","BEER","CS",0.96,0.66,15.02,35.29
"BEER-001055","Demo Beer Product #55","BEER","CS",0.83,0.57,14.63,32.17
"BEER-001056","Demo Beer Product #56","BEER","CS",0.96,0.75,16.63,31.84
"BEER-001057","Demo Beer Product #57","BEER","CS",0.91,0.60,15.11,31.84
"BEER-001058","Demo Beer Product #58","BEER","CS",0.92,0.60,15.61,35.73
"BEER-001059","Demo Beer Product #59","BEER","CS",0.84,0.57,16.90,37.79
"BEER-001060","Demo Beer Product #60","BEER","CS",0.94,0.79,16.76,37.60
"BEER-001061","Demo Beer Product #61","BEER","CS",0.77,0.72,16.70,33.10
"BEER-001062","Demo Beer Product #62","BEER","CS",0.88,0.73,16.56,35.21
"BEER-001063","Demo Beer Product #63","BEER","CS",0.98,0.62,14.13,34.65
"BEER-001064","Demo Beer Product #64","BEER","CS",0.87,0.58,17.20,35.27
"BEER-001065","Demo Beer Product #65","BEER","CS",0.97,0.66,15.56,37.05
"BEER-001066","Demo Beer Product #66","BEER","CS",0.89,0.63,14.31,37.73
"BEER-001067","Demo Beer Product #67","BEER","CS",0.80,0.66,14.51,31.84
"BEER-001068","Demo Beer Product #68","BEER","CS",0.83,0.54,17.36,32.74
"BEER-001069","Demo Beer Product #69","BEER","CS",0.88,0.65,17.31,35.12
"BEER-001070","Demo Beer Product #70","BEER","CS",0.77,0.56,16.20,34.35
"BEER-001071","Demo Beer Product #71","BEER","CS",0.91,0.50,15.70,35.41
"BEER-001072","Demo Beer Product #72","BEER","CS",0.97,0.73,15.52,36.59
"BEER-001073","Demo Beer Product #73","BEER","CS",0.93,0.70,14.21,33.28
"BEER-001074","Demo Beer Product #74","BEER","CS",0.80,0.50,16.92,37.71
