"LOCATION_ID","LOCATION_NAME","LOCATION_TYPE","CITY","STATE","LATITUDE","LONGITUDE","CAPACITY_UNITS","PARENT_PLANT"
"BRW-01","Brooklyn Craft Brewery","BREWERY","Brooklyn","NY",40.6782,-73.9442,50000,"\N"
"BRW-02","Great Lakes Brewing Co.","BREWERY","Chicago","IL",41.8881,-87.6298,45000,"\N"
"BRW-03","Pacific Hops Brewery","BREWERY","Portland","OR",45.5152,-122.6784,30000,"\N"
"DC-NYC","New York Distribution Center","DC","Brooklyn","NY",40.6501,-74.0139,80000,"BRW-01"
"DC-CHI","Chicago Distribution Center","DC","Chicago","IL",41.8525,-87.6514,75000,"BRW-02"
"DC-ATL","Atlanta Distribution Center","DC","Atlanta","GA",33.7537,-84.3863,60000,"BRW-01"
"DC-DAL","Dallas Distribution Center","DC","Dallas","TX",32.7767,-96.797,55000,"BRW-02"
"DC-SEA","Seattle Distribution Center","DC","Seattle","WA",47.6062,-122.3321,40000,"BRW-03"
"DC-TOR","Toronto Distribution Center","DC","Toronto","ON",43.6532,-79.3832,50000,"BRW-01"
"DST-BOS","New England Beverage Dist.","DISTRIBUTOR","Boston","MA",42.3601,-71.0589,15000,"DC-NYC"
"DST-PHL","Philly Beer Distributors","DISTRIBUTOR","Philadelphia","PA",39.9526,-75.1652,18000,"DC-NYC"
"DST-MIA","South Florida Beverage Co.","DISTRIBUTOR","Miami","FL",25.7617,-80.1918,20000,"DC-ATL"
"DST-TPA","Gulf Coast Distributors","DISTRIBUTOR","Tampa","FL",27.9506,-82.4572,14000,"DC-ATL"
"DST-NSH","Tennessee Craft Dist.","DISTRIBUTOR","Nashville","TN",36.1627,-86.7816,12000,"DC-ATL"
"DST-DET","Great Lakes Beverage Dist.","DISTRIBUTOR","Detroit","MI",42.3314,-83.0458,16000,"DC-CHI"
"DST-MSP","Twin Cities Craft Supply","DISTRIBUTOR","Minneapolis","MN",44.9778,-93.265,13000,"DC-CHI"
"DST-STL","Gateway Beverage Co.","DISTRIBUTOR","St. Louis","MO",38.627,-90.1994,15000,"DC-CHI"
"DST-HOU","Texas Craft Beverage","DISTRIBUTOR","Houston","TX",29.7604,-95.3698,22000,"DC-DAL"
"DST-DEN","Rocky Mountain Dist.","DISTRIBUTOR","Denver","CO",39.7392,-104.9903,11000,"DC-DAL"
"DST-PHX","Desert Sun Distributors","DISTRIBUTOR","Phoenix","AZ",33.4484,-112.074,14000,"DC-DAL"
"DST-PDX","Pacific NW Craft Supply","DISTRIBUTOR","Portland","OR",45.5152,-122.6784,10000,"DC-SEA"
"DST-SFO","Bay Area Beverage Dist.","DISTRIBUTOR","San Francisco","CA",37.7749,-122.4194,18000,"DC-SEA"
"DST-LAX","SoCal Craft Distributors","DISTRIBUTOR","Los Angeles","CA",34.0522,-118.2437,25000,"DC-SEA"
"SUP-MT","Montana Barley Farms","SUPPLIER","Great Falls","MT",47.5063,-111.2813,\\N,"\N"
"SUP-ND","Dakota Grain Cooperative","SUPPLIER","Fargo","ND",46.8772,-96.7898,\\N,"\N"
"SUP-WA","Yakima Valley Hop Farms","SUPPLIER","Yakima","WA",46.6021,-120.5059,\\N,"\N"
"SUP-ID","Idaho Barley Growers","SUPPLIER","Boise","ID",43.615,-116.2023,\\N,"\N"
"SUP-SK","Saskatchewan Grain Export","SUPPLIER","Regina","SK",50.4452,-104.6189,\\N,"\N"
"SUP-DE","Hallertau Hop Imports (Port Newark)","SUPPLIER","Newark","NJ",40.7282,-74.1534,\\N,"\N"
