"EVENT_ID","EVENT_NAME","EVENT_CATEGORY","START_DATE","END_DATE","SEVERITY","AFFECTED_REGIONS","AFFECTED_DCS","SUPPLY_CHAIN_IMPACT","LEAD_TIME_IMPACT_PCT","COST_IMPACT_PCT","AFFECTED_MATERIALS"
1,"Ukraine-Russia War - Grain Export Disruption","WAR","2024-10-01","2025-06-30",5,"Eastern Europe, Global Grain Markets","DC-NYC,DC-CHI,DC-ATL,DC-DAL,DC-SEA,DC-TOR","Black Sea barley exports collapsed; global barley futures +35%",0.25,0.35,"BARLEY"
2,"Red Sea / Houthi Shipping Attacks","CONFLICT","2024-11-15","2025-04-30",4,"Middle East, Asia-Europe Trade Routes","DC-NYC,DC-TOR","European hop imports rerouted via Cape of Good Hope; +18 day delay",0.3,0.22,"HOPS"
3,"Black Sea Grain Corridor Collapse","WAR","2025-07-01","2025-10-31",5,"Black Sea, Global Markets","DC-NYC,DC-CHI,DC-ATL,DC-DAL,DC-SEA,DC-TOR","Russia exits grain deal; barley spot prices hit 3-year high",0.15,0.4,"BARLEY"
4,"EU Export Controls on Hop Extracts","TARIFF","2026-03-01","2026-06-30",3,"EU, North America","DC-NYC,DC-SEA,DC-TOR","New EU regulations on hop extract exports; 2-week paperwork delays",0.18,0.12,"HOPS"
5,"Hurricane Helene - Southeast US","HURRICANE","2024-11-01","2024-12-15",5,"Southeast US, Gulf Coast","DC-ATL","Category 4 hurricane devastates Atlanta DC supply routes; I-85/I-75 closures, port delays at Savannah",0.55,0.18,"ALL"
6,"Polar Vortex - Great Lakes & Midwest","WINTER_STORM","2025-01-10","2025-02-20",4,"Midwest, Great Lakes, Northern US","DC-CHI,DC-TOR","Record cold snap: Chicago DC trucks grounded, Great Lakes shipping frozen, CN Rail delays",0.45,0.15,"ALL"
7,"Pacific NW Wildfires - Hop Country","WILDFIRE","2025-08-15","2025-10-01",4,"Oregon, Washington, Pacific NW","DC-SEA","Wildfires in Yakima Valley threaten hop harvest; smoke damage to crops, road closures on I-82/I-90",0.35,0.45,"HOPS"
8,"Hurricane Season - Gulf Coast","HURRICANE","2025-09-01","2025-10-15",4,"Texas, Gulf Coast, Southern US","DC-DAL","Tropical storm flooding in Houston; Dallas DC receiving halted, I-10/I-45 impassable",0.5,0.15,"ALL"
9,"Midwest Drought - Domestic Barley Belt","DROUGHT","2026-06-01","2026-08-31",4,"Montana, North Dakota, Idaho, Minnesota","DC-CHI,DC-DAL,DC-SEA","Worst drought in 20 years: domestic barley crop 30% below forecast, brew-grade barley at premium",0.12,0.35,"BARLEY"
10,"Derecho - Midwest Grain Belt","SEVERE_STORM","2026-07-15","2026-08-10",3,"Iowa, Illinois, Indiana","DC-CHI","Derecho flattens barley and corn across 500-mile corridor; grain elevator damage, rail disruptions",0.3,0.25,"BARLEY"
11,"Northeast Noreaster - East Coast","WINTER_STORM","2025-03-01","2025-03-18",3,"Northeast US, Mid-Atlantic","DC-NYC","Bomb cyclone shuts down I-95 corridor; Brooklyn DC cut off from southern distributors for 2 weeks",0.4,0.1,"ALL"
12,"Canada Rail Workers Strike","STRIKE","2025-05-01","2025-05-21",3,"Canada, Northern US Border","DC-TOR,DC-CHI","CN/CP rail strike halts grain shipments from Saskatchewan; Toronto and Chicago DCs affected",0.4,0.15,"BARLEY,HOPS"
